babyname,sex,origin
Athenasia,girl,Greek
Jace,boy,Hebrew
Sheryll,girl,Greek
Bardulf,boy,British
Alfeo,boy,British
Hannoch,boy,Hebrew
Margaruite,girl,Greek
Constantinos,boy,Unknown
Tairra,girl,Unknown
Zakery,boy,Hebrew
Karleigh,girl,Latin
Galten,boy,British
Buffy,girl,British
Asad,boy,Arabic
Ysandro,boy,Spanish
Walless,girl,Unknown
Alleeceea,girl,German
Olley,boy,Latin
Arnel,boy,German
Setsuko,girl,Unknown
Macallister,boy,Scottish
Myla,girl,British
Berbera,girl,Latin
Millar,boy,British
Aniela,girl,Greek
Sammantha,girl,British
Alfred,boy,British
Tarrants,boy,Latin
Kingsbury,boy,Unknown
Pons,boy,Latin
Tyra,girl,British
Cari,girl,Gaelic
Fatimah,girl,Arabic
Arcadios,boy,Spanish
Brydjitt,girl,Gaelic
Link,boy,British
Kalynda,girl,Indian
Kathlyne,girl,Greek
Roxene,girl,Persian
Brunetta,girl,Latin
Marla,girl,Hebrew
Rochel,girl,Unknown
Fariq,boy,Unknown
Zaneta,girl,Spanish
Miya,girl,Japanese
Avrom,boy,Hebrew
Meri,girl,Unknown
Wessley,boy,British
Lyssa,girl,Latin
Chaim,boy,Hebrew
Federigo,boy,German
Roxeena,girl,Persian
Laurentina,girl,French
Bromlee,boy,British
Elleonor,girl,Greek
Sherryl,girl,Greek
Tarun,boy,Sanskrit
Mildrid,girl,British
Walwynn,boy,Welsh
Perssis,girl,Greek
Lucerne,girl,Latin
Merriman,boy,German
Latenna,girl,Latin
Bertold,boy,German
Rozalia,girl,German
Tamary,girl,Hebrew
Aleana,girl,Hebrew
Agave,girl,Greek
Vick,boy,Latin
Priscella,girl,Latin
Zeena,girl,Greek
Chaparall,boy,Spanish
Stevenson,boy,Greek
Eluf,boy,Swedish
Jessia,girl,Hebrew
Shep,boy,British
Trysta,girl,British
Arsenio,boy,Spanish
Nevio,boy,Unknown
Bardo,boy,Irish
Natucha,girl,Latin
Glory,girl,Latin
Devony,girl,Irish
Rita,girl,Spanish
Lamarre,boy,German
Carr,boy,Scandinavian
Nadeir,boy,Arabic
Melissande,girl,German
Tajia,girl,Sanskrit
Tutanakai,boy,Unknown
Shala,girl,Unknown
Swanilda,girl,German
Ottis,boy,German
Matowatakpe,boy,Unknown
Ivelisse,girl,Unknown
Levant,boy,French
Gerald,boy,German
Otess,boy,German
Nephthali,boy,Hebrew
Cian,boy,Irish
Frayde,girl,Yiddish
Keelin,girl,Irish
Francoise,girl,Latin
Morio,boy,Japanese
Timeeka,girl,Unknown
Ophelya,girl,Greek
Joela,girl,French
Graydon,boy,British
Perkyn,boy,British
Theobald,boy,German
Malicia,girl,Unknown
Brandise,girl,British
Afrikah,girl,Celtic
Sheirys,girl,French
Giles,boy,Greek
Jeneva,girl,French
Leonis,boy,German
Chrissa,girl,Latin
Hovannes,boy,Hebrew
Trissina,girl,British
Merlynn,boy,Welsh
Gervayse,boy,German
Zero,boy,Arabic
Idelle,girl,Welsh
Odran,boy,Irish
Palmeda,girl,Latin
Laudonia,girl,Italian
Dixee,girl,French
Yolaiza,girl,Spanish
Nola,girl,Irish
Betina,girl,Hebrew
Vaniece,girl,Greek
Kidder,boy,British
Latice,girl,Unknown
Placidia,girl,Latin
Terrena,girl,Unknown
Zoya,girl,Russian
Marieke,girl,Danish
Heimann,boy,Norse
Bartholome,boy,Aramaic
Akalanka,boy,Sanskrit
Shakhil,boy,Arabic
Kaeley,girl,Gaelic
Kavalan,boy,Unknown
Ingvar,boy,Scandinavian
Rurik,boy,Russian
Saguaro,boy,American
Jorjana,girl,Latin
Ivyann,girl,Unknown
Lauralle,girl,Latin
Essie,girl,Persian
Keallin,boy,Irish
Onfroi,boy,German
Denna,girl,British
Breeauna,girl,British
Adao,boy,Hebrew
Dhariana,girl,Persian
Addal,girl,Hebrew
Lowran,girl,Latin
Abdella,boy,Arabic
